Code_commune_INSEE;Nom_commune;Code_postal;Prefix_codpos;Libelle_acheminement;Libelle_acheminement_len;Ligne_5;coordonnees_gps
14016;ANNEBAULT;14430;14;ANNEBAULT;9;;49.2183532057, -0.0305664652154
14031;LES AUTHIEUX PAPION;14140;14;LES AUTHIEUX PAPION;19;;49.0354632921, 0.127071984738
14034;AVENAY;14210;14;AVENAY;6;;49.1001637748, -0.508327897598
14036;BANNEVILLE LA CAMPAGNE;14940;14;BANNEVILLE LA CAMPAGNE;22;;49.1833480619, -0.224513518796
14044;BASLY;14610;14;BASLY;5;;49.2527836333, -0.426386244935
14045;BASSENEVILLE;14670;14;BASSENEVILLE;12;;49.1818769935, -0.152819265624
14047;BAYEUX;14400;14;BAYEUX;6;;49.2815631038, -0.715433077365
14054;BEAUMESNIL;14380;14;BEAUMESNIL;10;;48.8544817922, -1.0273831979
14055;BEAUMONT EN AUGE;14950;14;BEAUMONT EN AUGE;16;;49.2830960197, 0.0921245287823
14057;BELLENGREVILLE;14370;14;BELLENGREVILLE;14;;49.1190784398, -0.159512854419
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;BURES LES MONTS;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;ST OUEN DES BESACES;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;STE MARIE LAUMONT;48.9220153608, -0.733098585986
14073;LA BIGNE;14260;14;LA BIGNE;8;;49.0066968594, -0.682033937829
14081;BOISSEY;14170;14;BOISSEY;7;;48.9808309881, -0.0400174122505
14093;BRANVILLE;14430;14;BRANVILLE;9;;49.2183532057, -0.0305664652154
14124;LA CAMBE;14230;14;LA CAMBE;8;;49.3176758888, -1.05497360925
14125;CAMBES EN PLAINE;14610;14;CAMBES EN PLAINE;16;;49.2527836333, -0.426386244935
14126;CAMBREMER;14340;14;CAMBREMER;9;ST AUBIN SUR ALGOT;49.1715682628, 0.0767124030123
11432;VILLENEUVE LES MONTREAL;11290;11;VILLENEUVE LES MONTREAL;23;;43.1943746552, 2.18782678941
11434;VILLEPINTE;11150;11;VILLEPINTE;10;;43.2498711617, 2.06462165287
12002;AGUESSAC;12520;12;AGUESSAC;8;;44.1968259654, 3.06387030498
12018;BALAGUIER D OLT;12260;12;BALAGUIER D OLT;15;;44.458873555, 1.98297177766
12029;BOR ET BAR;12270;12;BOR ET BAR;10;;44.2133464767, 2.02193088766
12036;BROMMAT;12600;12;BROMMAT;7;;44.8341310228, 2.67664580865
12037;BROQUIES;12480;12;BROQUIES;8;;43.9974313835, 2.69341373502
12043;CALMONT;12450;12;CALMONT;7;CEIGNAC;44.2840952345, 2.5725628832
12053;LA CAPELLE BALAGUIER;12260;12;LA CAPELLE BALAGUIER;20;;44.458873555, 1.98297177766
12076;CONQUES EN ROUERGUE;12320;12;CONQUES EN ROUERGUE;19;ST CYPRIEN SUR DOURDOU;44.5837975359, 2.46440638377
12084;CREISSELS;12100;12;CREISSELS;9;;44.0898281066, 3.10621950967
12094;ENTRAYGUES SUR TRUYERE;12140;12;ENTRAYGUES SUR TRUYERE;22;;44.6558037135, 2.58164635516
12108;GALGAN;12220;12;GALGAN;6;;44.4874742078, 2.20156153334
12109;GISSAC;12360;12;GISSAC;6;;43.7904240706, 2.95795996186
12145;MILLAU;12100;12;MILLAU;6;;44.0898281066, 3.10621950967
65107;BOURREAC;65100;65;BOURREAC;8;;43.0733136747, -0.0281562446131
65111;BULAN;65130;65;BULAN;5;;43.0681030312, 0.291772301589
65123;CAMPAN;65710;65;CAMPAN;6;ARTIGUES CAMPAN;42.9707906298, 0.166937174771
65128;CASTELBAJAC;65330;65;CASTELBAJAC;11;;43.2121588456, 0.389695156566
65131;CASTELVIEILH;65350;65;CASTELVIEILH;12;;43.2779016601, 0.195544066048
65148;CIZOS;65230;65;CIZOS;5;;43.2892143486, 0.513472405936
65150;CLARENS;65300;65;CLARENS;7;;43.1395973216, 0.406662032374
65161;ESCONDEAUX;65140;65;ESCONDEAUX;10;;43.3753826494, 0.157344446481
65184;GALEZ;65330;65;GALEZ;5;;43.2121588456, 0.389695156566
65190;GAZAVE;65250;65;GAZAVE;6;;43.0306895829, 0.387562975856
65207;GOURGUE;65130;65;GOURGUE;7;;43.0681030312, 0.291772301589
65215;HAGEDET;65700;65;HAGEDET;7;;43.5049102666, 0.00690164253781
65220;HIBARETTE;65380;65;HIBARETTE;9;;43.1697077524, -0.022463739718
65221;HIIS;65200;65;HIIS;4;;43.0346588013, 0.142823788541
65226;IBOS;65420;65;IBOS;4;;43.2411868167, 8.29948036872e-05
65231;IZAUX;65250;65;IZAUX;5;;43.0306895829, 0.387562975856
65242;LACASSAGNE;65140;65;LACASSAGNE;10;;43.3753826494, 0.157344446481
65249;LALANNE;65230;65;LALANNE;7;;43.2892143486, 0.513472405936
65274;LIBAROS;65330;65;LIBAROS;7;;43.2121588456, 0.389695156566
65279;LORTET;65250;65;LORTET;6;;43.0306895829, 0.387562975856
65281;LOUCRUP;65200;65;LOUCRUP;7;;43.0346588013, 0.142823788541
65283;LOUDERVIELLE;65240;65;LOUDERVIELLE;12;;42.8315711949, 0.385912028349
65291;LUGAGNAN;65100;65;LUGAGNAN;8;;43.0733136747, -0.0281562446131
70094;BREUCHOTTE;70280;70;BREUCHOTTE;10;;47.8584720576, 6.48683952427
70113;CENANS;70230;70;CENANS;6;;47.4966875875, 6.24277918181
70115;CERRE LES NOROY;70000;70;CERRE LES NOROY;15;;47.6011380255, 6.15589374132
70122;CHAMPLITTE;70600;70;CHAMPLITTE;10;;47.6194548362, 5.54979434525
70122;CHAMPLITTE;70600;70;CHAMPLITTE;10;NEUVELLE LES CHAMPLITTE;47.6194548362, 5.54979434525
70125;CHAMPVANS;70100;70;CHAMPVANS;9;;47.4450284828, 5.5835389303
70128;LA CHAPELLE LES LUXEUIL;70300;70;LA CHAPELLE LES LUXEUIL;23;;47.7890044544, 6.35705399626
70143;CHAUVIREY LE CHATEL;70500;70;CHAUVIREY LE CHATEL;19;;47.8418489668, 5.8916124162
70151;CHEVIGNEY;70140;70;CHEVIGNEY;9;;47.3157094968, 5.59575332821
70152;CHOYE;70700;70;CHOYE;5;;47.4220455151, 5.83192580295
70160;COISEVAUX;70400;70;COISEVAUX;9;;47.6008561434, 6.6927201573
70171;CORBENAY;70320;70;CORBENAY;8;;47.9247841994, 6.33509809591
70174;CORDONNET;70190;70;CORDONNET;9;;47.4343544936, 6.05247846774
70183;COURTESOULT ET GATEY;70600;70;COURTESOULT ET GATEY;20;;47.6194548362, 5.54979434525
70188;CREVENEY;70240;70;CREVENEY;8;;47.6867941228, 6.30222292395
70198;DAMPIERRE SUR SALON;70180;70;DAMPIERRE SUR SALON;19;;47.5818626565, 5.68358406763
70207;ECHENOZ LA MELINE;70000;70;ECHENOZ LA MELINE;17;;47.6011380255, 6.15589374132
70217;ESMOULIERES;70310;70;ESMOULIERES;11;;47.8636608805, 6.5903909277
70228;FAVERNEY;70160;70;FAVERNEY;8;;47.7821357866, 6.09657961176
70230;FEDRY;70120;70;FEDRY;5;;47.6952639398, 5.81680839597
70233;LES FESSEY;70310;70;LES FESSEY;10;;47.8636608805, 6.5903909277
70271;GOUHENANS;70110;70;GOUHENANS;9;;47.5606005441, 6.44969851367
70280;GRAY LA VILLE;70100;70;GRAY LA VILLE;13;;47.4450284828, 5.5835389303
70283;HAUT DU THEM CHATEAU LAMBERT;70440;70;HAUT DU THEM CHATEAU LAMBERT;28;;47.8263854039, 6.71661809603
70289;IGNY;70700;70;IGNY;4;;47.4220455151, 5.83192580295
70304;LINEXERT;70200;70;LINEXERT;8;;47.6775063744, 6.50353320831
70308;LA LONGINE;70310;70;LA LONGINE;10;;47.8636608805, 6.5903909277
70312;LUZE;70400;70;LUZE;4;;47.6008561434, 6.6927201573
70322;MAILLERONCOURT CHARETTE;70240;70;MAILLERONCOURT CHARETTE;23;;47.6867941228, 6.30222292395
70339;MELISEY;70270;70;MELISEY;7;;47.7708435276, 6.60585361719
70343;MERSUAY;70160;70;MERSUAY;7;;47.7821357866, 6.09657961176
70348;MOFFANS ET VACHERESSE;70200;70;MOFFANS ET VACHERESSE;21;;47.6775063744, 6.50353320831
70349;MOIMAY;70110;70;MOIMAY;6;;47.5606005441, 6.44969851367
70372;MONTUREUX LES BAULAY;70500;70;MONTUREUX LES BAULAY;20;;47.8418489668, 5.8916124162
70376;NANTILLY;70100;70;NANTILLY;8;;47.4450284828, 5.5835389303
70384;NEUVELLE LES LA CHARITE;70130;70;NEUVELLE LES LA CHARITE;23;;47.5459896831, 5.86128799053
70386;LA NEUVELLE LES SCEY;70360;70;LA NEUVELLE LES SCEY;20;;47.6495593751, 5.96829724146
70395;OPPENANS;70110;70;OPPENANS;8;;47.5606005441, 6.44969851367
70398;ORMOICHE;70300;70;ORMOICHE;8;;47.7890044544, 6.35705399626
70406;PERCEY LE GRAND;70600;70;PERCEY LE GRAND;15;;47.6194548362, 5.54979434525
70412;PLAINEMONT;70800;70;PLAINEMONT;10;;47.8604600248, 6.24651419219
70422;POYANS;70100;70;POYANS;6;;47.4450284828, 5.5835389303
70425;LA PROISELIERE ET LANGLE;70310;70;LA PROISELIERE ET LANGLE;24;;47.8636608805, 6.5903909277
70431;QUENOCHE;70190;70;QUENOCHE;8;;47.4343544936, 6.05247846774
70448;ROCHE ET RAUCOURT;70180;70;ROCHE ET RAUCOURT;17;;47.5818626565, 5.68358406763
70460;ST BRESSON;70280;70;ST BRESSON;10;;47.8584720576, 6.48683952427
70461;ST BROING;70100;70;ST BROING;9;;47.4450284828, 5.5835389303
70466;ST LOUP NANTOUARD;70100;70;ST LOUP NANTOUARD;17;NANTOUARD;47.4450284828, 5.5835389303
70474;ST SULPICE;70110;70;ST SULPICE;10;;47.5606005441, 6.44969851367
70478;SAULX;70240;70;SAULX;5;;47.6867941228, 6.30222292395
70479;SAUVIGNEY LES GRAY;70100;70;SAUVIGNEY LES GRAY;18;;47.4450284828, 5.5835389303
70483;SCYE;70170;70;SCYE;4;;47.7021029356, 6.05287315631
70490;SERVIGNEY;70240;70;SERVIGNEY;9;;47.6867941228, 6.30222292395
70516;VALLEROIS LE BOIS;70000;70;VALLEROIS LE BOIS;17;;47.6011380255, 6.15589374132
67353;OBERSTEINBACH;67510;67;OBERSTEINBACH;13;;49.0227242639, 7.76839928059
67356;OFFENDORF;67850;67;OFFENDORF;9;;48.7239519575, 7.9191715322
67358;OFFWILLER;67340;67;OFFWILLER;9;;48.9008090946, 7.47211174542
67359;OHLUNGEN;67590;67;OHLUNGEN;8;;48.811939028, 7.71713029127
67366;OTTERSTHAL;67700;67;OTTERSTHAL;10;;48.7358014882, 7.35473600973
67369;OTTWILLER;67320;67;OTTWILLER;9;;48.8529656934, 7.17568129629
67370;PETERSBACH;67290;67;PETERSBACH;10;;48.9014582191, 7.32896439484
67380;PRINTZHEIM;67490;67;PRINTZHEIM;10;;48.7504133614, 7.47251563059
67384;RANRUPT;67420;67;RANRUPT;7;;48.3874894068, 7.1481297444
67395;REUTENBOURG;67440;67;REUTENBOURG;11;;48.685560689, 7.36622848676
67404;RITTERSHOFFEN;67690;67;RITTERSHOFFEN;13;;48.893568383, 7.99177649059
67405;ROESCHWOOG;67480;67;ROESCHWOOG;10;;48.8278022516, 8.03538816239
67411;ROSHEIM;67560;67;ROSHEIM;7;;48.4928593453, 7.41301977896
67420;RUSS;67130;67;RUSS;4;SCHWARZBACH;48.4803602353, 7.21016561348
67420;RUSS;67130;67;RUSS;4;STEINBACH;48.4803602353, 7.21016561348
67424;ST BLAISE LA ROCHE;67420;67;ST BLAISE LA ROCHE;18;;48.3874894068, 7.1481297444
67425;ST JEAN SAVERNE;67700;67;ST JEAN SAVERNE;15;;48.7358014882, 7.35473600973
67438;SCHAEFFERSHEIM;67150;67;SCHAEFFERSHEIM;14;;48.4189432585, 7.66592042678
67439;SCHAFFHOUSE SUR ZORN;67270;67;SCHAFFHOUSE SUR ZORN;20;;48.7485075734, 7.5652768188
67443;SCHEIBENHARD;67630;67;SCHEIBENHARD;12;;48.9645506647, 8.14057364298
67451;SCHLEITHAL;67160;67;SCHLEITHAL;10;;48.9935225292, 7.97087755177
67454;SCHOENBOURG;67320;67;SCHOENBOURG;11;;48.8529656934, 7.17568129629
67458;SCHWEIGHOUSE SUR MODER;67590;67;SCHWEIGHOUSE SUR MODER;22;;48.811939028, 7.71713029127
1002;L ABERGEMENT DE VAREY;1640;16;L ABERGEMENT DE VAREY;21;;46.0337779297, 5.42151732468
1015;ARBOYS EN BUGEY;1300;13;ARBOYS EN BUGEY;15;ST BOIS;45.7328309975, 5.65715901636
1019;ARMIX;1510;15;ARMIX;5;;45.8480243468, 5.61949053703
1023;ASNIERES SUR SAONE;1570;15;ASNIERES SUR SAONE;18;;46.3545794503, 4.88868114295
1031;BELLIGNAT;1100;11;BELLIGNAT;9;;46.2468792013, 5.65226081977
1034;BELLEY;1300;13;BELLEY;6;;45.7328309975, 5.65715901636
1139;CURCIAT DONGALON;1560;15;CURCIAT DONGALON;16;;46.44295833, 5.12304891736
1152;ECHALLON;1130;11;ECHALLON;8;;46.1948352393, 5.7148151411
1183;GUEREINS;1090;10;GUEREINS;8;;46.0869886552, 4.79611073763
1202;LAGNIEU;1150;11;LAGNIEU;7;;45.8772713832, 5.32595701713
1204;LE POIZAT LALLEYRIAT;1130;11;LE POIZAT LALLEYRIAT;20;LE POIZAT;46.1948352393, 5.7148151411
1213;LEYMENT;1150;11;LEYMENT;7;;45.8772713832, 5.32595701713
1221;LOMPNIEU;1260;12;LOMPNIEU;8;;45.9506630232, 5.68746147482
1233;MARCHAMP;1680;16;MARCHAMP;8;;45.752622921, 5.55446422211
2090;BILLY SUR OURCQ;2210;22;BILLY SUR OURCQ;15;;49.2129002416, 3.35011614589
2433;LISLET;2340;23;LISLET;6;;49.6857429854, 4.02291889368
2458;DHUYS ET MORIN EN BRIE;2330;23;DHUYS ET MORIN EN BRIE;22;ARTONGES;48.9761149923, 3.54081832468
2458;DHUYS ET MORIN EN BRIE;2540;25;DHUYS ET MORIN EN BRIE;22;LA CELLE SOUS MONTMIRAIL;48.9128673746, 3.4403848461
2470;MARTIGNY;2500;25;MARTIGNY;8;;49.890758884, 4.10750632589
2487;MISSY SUR AISNE;2880;28;MISSY SUR AISNE;15;;49.4238582409, 3.38402828695
2540;NESLES LA MONTAGNE;2400;24;NESLES LA MONTAGNE;18;;49.0643447361, 3.3912505936
1036;BELMONT LUTHEZIEU;1260;12;BELMONT LUTHEZIEU;17;LUTHEZIEU;45.9506630232, 5.68746147482
1037;BENONCES;1470;14;BENONCES;8;;45.805864462, 5.47727707691
1050;BOISSEY;1380;13;BOISSEY;7;;46.3161847468, 4.97400450524
1063;BRION;1460;14;BRION;5;;46.1732029522, 5.56455683284
1076;CHALEY;1230;12;CHALEY;6;;45.9329292993, 5.4692328328
1084;CHANOZ CHATENAY;1400;14;CHANOZ CHATENAY;15;;46.1331001556, 4.99858455549
1093;CHATILLON SUR CHALARONNE;1400;14;CHATILLON SUR CHALARONNE;24;;46.1331001556, 4.99858455549
1095;CHAVANNES SUR SURAN;1250;12;CHAVANNES SUR SURAN;19;;46.2066710432, 5.38605889851
1100;CHEIGNIEU LA BALME;1510;15;CHEIGNIEU LA BALME;18;;45.8480243468, 5.61949053703
1104;CHEZERY FORENS;1200;12;CHEZERY FORENS;14;;46.1338706653, 5.81259483702
1106;CIZE;1250;12;CIZE;4;;46.2066710432, 5.38605889851
1107;CLEYZIEU;1230;12;CLEYZIEU;8;;45.9329292993, 5.4692328328
1125;CORVEISSIAT;1250;12;CORVEISSIAT;11;;46.2066710432, 5.38605889851
1140;CURTAFOND;1310;13;CURTAFOND;9;;46.2412963633, 5.11553315012
1155;EVOSGES;1230;12;EVOSGES;7;;45.9329292993, 5.4692328328
1181;GROISSIAT;1100;11;GROISSIAT;9;;46.2468792013, 5.65226081977
1184;HAUTECOURT ROMANECHE;1250;12;HAUTECOURT ROMANECHE;20;ROMANECHE;46.2066710432, 5.38605889851
1188;ILLIAT;1140;11;ILLIAT;6;;46.1670266686, 4.8459954399
1189;INJOUX GENISSIAT;1200;12;INJOUX GENISSIAT;16;CRAZ;46.1338706653, 5.81259483702
1190;INNIMOND;1680;16;INNIMOND;8;;45.752622921, 5.55446422211
1191;IZENAVE;1430;14;IZENAVE;7;;46.1000038391, 5.54230808548
1193;IZIEU;1300;13;IZIEU;5;;45.7328309975, 5.65715901636
1194;JASSANS RIOTTIER;1480;14;JASSANS RIOTTIER;16;;46.0178170669, 4.81482624573
1198;JOYEUX;1800;18;JOYEUX;6;;45.8984701804, 5.16340257624
1200;LABALME;1450;14;LABALME;7;;46.1107742949, 5.45519733117
1204;LE POIZAT LALLEYRIAT;1130;11;LE POIZAT LALLEYRIAT;20;;46.1948352393, 5.7148151411
1219;LOMPNAS;1680;16;LOMPNAS;7;;45.752622921, 5.55446422211
1231;MANZIAT;1570;15;MANZIAT;7;;46.3545794503, 4.88868114295
1238;MASSIEUX;1600;16;MASSIEUX;8;;45.9478092043, 4.80583207499
1239;MASSIGNIEU DE RIVES;1300;13;MASSIGNIEU DE RIVES;19;;45.7328309975, 5.65715901636
1249;MIRIBEL;1700;17;MIRIBEL;7;LE MAS RILLIER;45.8388521429, 4.95806179291
1250;MISERIEUX;1600;16;MISERIEUX;9;;45.9478092043, 4.80583207499
1258;MONTCEAUX;1090;10;MONTCEAUX;9;;46.0869886552, 4.79611073763
1262;MONTLUEL;1120;11;MONTLUEL;8;CORDIEUX;45.8725197955, 5.04054729356
1265;MONTREAL LA CLUSE;1460;14;MONTREAL LA CLUSE;17;;46.1732029522, 5.56455683284
1269;NANTUA;1130;11;NANTUA;6;;46.1948352393, 5.7148151411
1269;NANTUA;1460;14;NANTUA;6;;46.1732029522, 5.56455683284
1275;NEYRON;1700;17;NEYRON;6;;45.8388521429, 4.95806179291
1277;NIVOLLET MONTGRIFFON;1230;12;NIVOLLET MONTGRIFFON;20;;45.9329292993, 5.4692328328
1281;ORNEX;1210;12;ORNEX;5;;46.2774426572, 6.10074151675
1283;OYONNAX;1100;11;OYONNAX;7;VEYZIAT;46.2468792013, 5.65226081977
1295;PEYZIEUX SUR SAONE;1140;11;PEYZIEUX SUR SAONE;18;;46.1670266686, 4.8459954399
1296;PIRAJOUX;1270;12;PIRAJOUX;8;;46.3890219242, 5.30343220636
1298;PLAGNE;1130;11;PLAGNE;6;;46.1948352393, 5.7148151411
1301;POLLIAT;1310;13;POLLIAT;7;;46.2412963633, 5.11553315012
1302;POLLIEU;1350;13;POLLIEU;7;;45.8543854094, 5.76557245306
1306;PONT DE VEYLE;1290;12;PONT DE VEYLE;13;;46.2466681, 4.88543738301
1307;PORT;1460;14;PORT;4;;46.1732029522, 5.56455683284
1316;PUGIEU;1510;15;PUGIEU;6;;45.8480243468, 5.61949053703
1321;REVONNAS;1250;12;REVONNAS;8;;46.2066710432, 5.38605889851
1328;ROMANS;1400;14;ROMANS;6;;46.1331001556, 4.99858455549
1329;ROSSILLON;1510;15;ROSSILLON;9;;45.8480243468, 5.61949053703
1335;ST ANDRE LE BOUCHOUX;1240;12;ST ANDRE LE BOUCHOUX;20;;46.0916655381, 5.14797548998
1352;ST ETIENNE SUR REYSSOUZE;1190;11;ST ETIENNE SUR REYSSOUZE;24;;46.4316836316, 4.96424452785
1363;ST JEAN LE VIEUX;1640;16;ST JEAN LE VIEUX;16;;46.0337779297, 5.42151732468
1374;ST MARTIN DU MONT;1160;11;ST MARTIN DU MONT;17;;46.0747014809, 5.31394582841
1375;ST MARTIN LE CHATEL;1310;13;ST MARTIN LE CHATEL;19;;46.2412963633, 5.11553315012
1387;ST SULPICE;1340;13;ST SULPICE;10;;46.3400485451, 5.13297724307
1391;SALAVRE;1270;12;SALAVRE;7;;46.3890219242, 5.30343220636
1392;SAMOGNAT;1580;15;SAMOGNAT;8;;46.2402104429, 5.54908625912
1393;SANDRANS;1400;14;SANDRANS;8;;46.1331001556, 4.99858455549
1414;SUTRIEU;1260;12;SUTRIEU;7;CHARANCIN;45.9506630232, 5.68746147482
1415;TALISSIEU;1510;15;TALISSIEU;9;;45.8480243468, 5.61949053703
1419;THOIRY;1710;17;THOIRY;6;;46.243919719, 5.96461682999
1423;TOUSSIEUX;1600;16;TOUSSIEUX;9;;45.9478092043, 4.80583207499
1425;LA TRANCLIERE;1160;11;LA TRANCLIERE;13;;46.0747014809, 5.31394582841
1426;VAL REVERMONT;1370;13;VAL REVERMONT;13;PRESSIAT;46.2853749129, 5.32614321781
1427;TREVOUX;1600;16;TREVOUX;7;;45.9478092043, 4.80583207499
1428;VALEINS;1140;11;VALEINS;7;;46.1670266686, 4.8459954399
1431;VAUX EN BUGEY;1150;11;VAUX EN BUGEY;13;;45.8772713832, 5.32595701713
1434;VERSAILLEUX;1330;13;VERSAILLEUX;11;;45.9976909227, 5.02164504767
1436;VESANCY;1170;11;VESANCY;7;;46.3286268081, 6.03059799732
1437;VESCOURS;1560;15;VESCOURS;8;;46.44295833, 5.12304891736
1442;VIEU;1260;12;VIEU;4;;45.9506630232, 5.68746147482
1446;VILLENEUVE;1480;14;VILLENEUVE;10;;46.0178170669, 4.81482624573
1447;VILLEREVERSURE;1250;12;VILLEREVERSURE;14;;46.2066710432, 5.38605889851
